time (s),temperature (K),NO (frac)
0.45226130653266333,652.2271739864019,6.567791698413658e-09
0.457286432160804,652.3871185361176,6.120462443113552e-09
0.4623115577889447,652.5591051890507,5.678436186718042e-09
0.46733668341708545,652.7435449840658,5.246254033786561e-09
0.4723618090452261,652.9408415345544,4.828083694559799e-09
0.47738693467336685,653.1513958210553,4.427455274019262e-09
0.4824120603015075,653.3756108966569,4.047198746278894e-09
0.48743718592964824,653.6138960338996,3.6893135610342637e-09
0.49246231155778897,653.8666699553584,3.3549791643820918e-09
0.49748743718592964,654.1343629944779,3.044702221877979e-09
0.5025125628140703,654.4174182613789,2.7583594480600975e-09
0.507537688442211,654.7162920682243,2.495519648652262e-09
0.5125628140703518,655.031454042913,2.2555539349339724e-09
0.5175879396984925,655.3633873357938,2.037790426077479e-09
0.5226130653266332,655.7125893409103,1.8415761598197164e-09
0.5276381909547738,656.0795732250883,1.6662713336475983e-09
0.5326633165829145,656.4648704545262,1.5111853659120255e-09
0.5376884422110553,656.8690343989537,1.3755623191144646e-09
0.542713567839196,657.292645011335,1.2584207309829512e-09
0.5477386934673367,657.7363145291749,1.1586516647247025e-09
0.5527638190954774,658.2006941353721,1.0749550551816455e-09
0.5577889447236181,658.6864786903117,1.0059258995158524e-09
0.5628140703517588,659.194405999406,9.500871186206519e-10
0.5678391959798995,659.7252953346374,9.05977041051436e-10
0.5728643216080402,660.280043140519,8.721795428280792e-10
0.577889447236181,660.8596316088898,8.473729845131491e-10
0.5829145728643216,661.465140634821,8.30358881768821e-10
0.5879396984924623,662.0977607906647,8.200780347656083e-10
0.592964824120603,662.758807624442,8.156220293944079e-10
0.5979899497487438,663.4497374788385,8.162140832757672e-10
0.6030150753768845,664.1721651040829,8.212324539359023e-10
0.6080402010050251,664.927883410367,8.301863161008155e-10
0.6130653266331658,665.7188857637744,8.426987942662155e-10
0.6180904522613065,666.5473913231011,8.585207224568219e-10
0.6231155778894473,667.4158740025899,8.775005738888707e-10
0.628140703517588,668.3270957477927,8.995888558782042e-10
0.6331658291457286,669.28414504937,9.248318454568795e-10
0.6381909547738693,670.2904815857335,9.533710830607726e-10
0.6432160804020101,671.3499883094229,9.85442242476258e-10
0.6482412060301508,672.4670323768257,1.021383974132662e-09
0.6532663316582915,673.6465366410947,1.0616469499730412e-09
0.6582914572864321,674.8940637307667,1.1068107776956915e-09
0.6633165829145728,676.2159150409921,1.1576084131602945e-09
0.6683417085427136,677.6192471672051,1.214960639075337e-09
0.6733668341708543,679.112208808586,1.2800241661966695e-09
0.678391959798995,680.7041007068209,1.3542584481946673e-09
0.6834170854271356,682.4055608302344,1.439518769276249e-09
0.6884422110552764,684.2287753091498,1.5381869928029874e-09
0.6934673366834171,686.1877118073397,1.653357294614043e-09
0.6984924623115578,688.2983647320241,1.789103757541337e-09
0.7035175879396985,690.5789865785283,1.950872041275414e-09
0.7085427135678392,693.0502522516731,2.1460625456834873e-09
0.7135678391959799,695.7352517499471,2.3849146148075272e-09
0.7185929648241206,698.6591162155255,2.681872121411811e-09
0.7236180904522613,701.8479197214882,3.057730372772221e-09
0.7286432160804021,705.3262349758959,3.5430648398208534e-09
0.7336683417085427,709.1123293490463,4.183769318142794e-09
0.7386934673366834,713.2095328532534,5.050028720722851e-09
0.7437185929648241,717.5922177464196,6.2506836115486425e-09
0.7487437185929648,722.1863282674556,7.955366549031154e-09
0.7537688442211056,726.8498492573668,1.0425797018086539e-08
0.7587939698492463,731.3692206837474,1.4052273241548703e-08
0.7638190954773869,735.4951797198269,1.9376490861983368e-08
0.7688442211055276,739.0228394788194,2.705192370135315e-08
0.7738693467336684,741.8713951919431,3.765573517930462e-08
0.7788944723618091,744.0993324501087,5.128490102865363e-08
0.7839195979899498,745.8492996459623,6.708572729930992e-08
0.7889447236180904,747.2777535838658,8.323985665081568e-08
0.7939698492462312,748.5132528295893,9.77924603830559e-08
0.7989949748743719,749.6459797642565,1.0969179792789719e-07
0.8040201005025126,750.7333136845162,1.1902568845882049e-07
0.8090452261306533,751.8095353923102,1.2650078920394902e-07
0.8140703517587939,752.8944203499269,1.3288843565852257e-07
0.8190954773869347,753.9993704972063,1.387755473605959e-07
0.8241206030150754,755.1313037289069,1.4453992645887167e-07
0.8291457286432161,756.2949363651977,1.504058541478191e-07
0.8341708542713568,757.4940514968303,1.565047378728643e-07
0.8391959798994975,758.7321803437492,1.629189076633197e-07
0.8442211055276382,760.0129680691583,1.6970846149843294e-07
0.8492462311557789,761.3403833705859,1.769263867662796e-07
0.8542713567839196,762.7188604294114,1.8462686636745729e-07
0.8592964824120604,764.1534211151389,1.9287009813290332e-07
0.864321608040201,765.6498040246053,2.0172564952317613e-07
0.8693467336683417,767.2146171083248,2.1127549776536255e-07
0.8743718592964824,768.8555277947921,2.2161744257059486e-07
0.8793969849246231,770.581505939756,2.3286939836602692e-07
0.8844221105527639,772.4031395075352,2.4517506948639124e-07
0.8894472361809045,774.3330514685159,2.5871165993155974e-07
0.8944723618090452,776.3864594756701,2.737005740159711e-07
